"Year","United Kingdom",Series,Unit
2000,0.2,Proportion of population below the international poverty line,Percentage (%)
2001,0.2,Proportion of population below the international poverty line,Percentage (%)
2002,0.2,Proportion of population below the international poverty line,Percentage (%)
2003,0.2,Proportion of population below the international poverty line,Percentage (%)
2004,0.2,Proportion of population below the international poverty line,Percentage (%)
2005,0.2,Proportion of population below the international poverty line,Percentage (%)
2006,0.2,Proportion of population below the international poverty line,Percentage (%)
2007,0.2,Proportion of population below the international poverty line,Percentage (%)
2008,0.2,Proportion of population below the international poverty line,Percentage (%)
2009,0.2,Proportion of population below the international poverty line,Percentage (%)
2010,0.2,Proportion of population below the international poverty line,Percentage (%)
2011,0.2,Proportion of population below the international poverty line,Percentage (%)
2012,0.2,Proportion of population below the international poverty line,Percentage (%)
2013,0.2,Proportion of population below the international poverty line,Percentage (%)
2014,0.2,Proportion of population below the international poverty line,Percentage (%)
2015,0.2,Proportion of population below the international poverty line,Percentage (%)
2016,0.2,Proportion of population below the international poverty line,Percentage (%)
2017,0.2,Proportion of population below the international poverty line,Percentage (%)
2018,0.5,Proportion of population below the international poverty line,Percentage (%)
2019,0.5,Proportion of population below the international poverty line,Percentage (%)
2020,0.5,Proportion of population below the international poverty line,Percentage (%)
